id,name,castTime,minRange,maxRange,isPassive,isTalent,cooldown,costs,
101643,Transcendence,0.000000,0,0,0,0,10.000000,,
264348,Tiger Tail Sweep,0.000000,0,0,1,1,0.000000,,
115078,Paralysis,0.000000,0,20,0,0,45.000000,ENERGY:20;,
119996,Transcendence: Transfer,0.000000,0,40,0,0,45.000000,,
115098,Chi Wave,0.000000,0,40,0,0,15.000000,,
115295,Guard,0.000000,0,0,0,1,30.000000,,
115173,Celerity,0.000000,0,0,1,1,0.000000,,
115181,Breath of Fire,0.000000,0,0,0,0,15.000000,,
115315,Summon Black Ox Statue,0.000000,0,40,0,1,10.000000,,
132578,Invoke Niuzao,the Black Ox,0.000000,0,40,0,1,180.000000,
115008,Chi Torpedo,0.000000,0,0,0,1,0.000000,,
121253,Keg Smash,0.000000,0,15,0,0,1.000000,ENERGY:40,
116847,Rushing Jade Wind,0.000000,0,0,0,1,6.000000,,
116670,Vivify,1.297000,0,40,0,0,0.000000,MANA:0;ENERGY:30,
122281,Healing Elixir,0.000000,0,0,0,1,0.000000,,
123986,Chi Burst,0.865000,0,40,0,1,30.000000,,
196737,High Tolerance,0.000000,0,0,1,1,0.000000,,
115178,Resuscitate,8.647000,0,40,0,0,0.000000,,
115308,Ironskin Brew,0.000000,0,0,0,0,1.000000,,
280515,Bob and Weave,0.000000,0,0,1,1,0.000000,,
115072,Expel Harm,0.000000,0,0,0,0,0.000000,ENERGY:15,
196730,Special Delivery,0.000000,0,0,1,1,0.000000,,
116844,Ring of Peace,0.000000,0,40,0,1,45.000000,,
115399,Black Ox Brew,0.000000,0,0,0,1,120.000000,,
115069,Stagger,0.000000,0,0,1,0,0.000000,,
8647,Mystic Touch,0.000000,0,0,1,0,0.000000,,
122278,Dampen Harm,0.000000,0,0,0,1,120.000000,,
117906,Mastery: Elusive Brawler,0.000000,0,0,1,0,0.000000,,
124502,Gift of the Ox,0.000000,0,0,1,0,0.000000,,
216519,Celestial Fortune,0.000000,0,0,1,0,0.000000,,
175697,Disabling Technique,0.000000,0,0,0,0,0.000000,,
126892,Zen Pilgrimage,8.647000,0,0,0,0,60.000000,,
245013,Brewmaster's Balance,0.000000,0,0,1,0,0.000000,,
196721,Light Brewing,0.000000,0,0,1,1,0.000000,,
125883,Zen Flight,0.000000,0,0,0,0,0.000000,,
242580,Spitfire,0.000000,0,0,1,1,0.000000,,
116705,Spear Hand Strike,0.000000,0,0,0,0,15.000000,,
116841,Tiger's Lust,0.000000,0,20,0,1,30.000000,,
100780,Tiger Palm,0.000000,0,0,0,0,0.000000,ENERGY:25,
100784,Blackout Kick,0.000000,0,0,0,0,3.000000,,
109132,Roll,0.000000,0,0,0,0,0.800000,,
119582,Purifying Brew,0.000000,0,0,0,0,1.000000,,
119381,Leg Sweep,0.000000,0,0,0,0,60.000000,,
196736,Blackout Combo,0.000000,0,0,1,1,0.000000,,
115546,Provoke,0.000000,0,30,0,0,8.000000,,
196607,Eye of the Tiger,0.000000,0,0,1,1,0.000000,,
115176,Zen Meditation,0.000000,0,0,0,0,300.000000,,
117952,Crackling Jade Lightning,0.000000,0,40,0,0,0.000000,ENERGY:20,
115203,Fortifying Brew,0.000000,0,0,0,0,420.000000,,
218164,Detox,0.000000,0,40,0,0,0.000000,ENERGY:20,
132578,"Invoke Niuzao, the Black Ox",0,0,0,0,1,180,,
195630,Elusive Brawler,0,0,0,1,0,0,,
205523,Blackout Strike,0,0,0,0,0,3,,
123725,Breath of Fire Dot,0,0,0,1,0,0,,
322729,Spinning Crane Kick,0,0,0,0,0,0,ENERGY:25
325153,Exploding Keg,0,0,40,0,1,60,
386965,Charred Passions,0,0,0,0,1,0,
388686,Summon White Tiger Statue,0,0,0,0,1,120,
322740,Improved Invoke Niuzao, the Black Ox,0,0,0,0,1,0,
387184,Weapons of Order,0,0,0,0,1,120,
397251,Call to Arms,0,0,0,0,1,0,
383994,Dragonfire Brew,0,0,0,0,1,0,
383697,Sal'salabim's Strength,0,0,0,0,1,0,
386276,Bonedust Brew,0,0,0,0,1,60,
386276,Bonedust Brew,0,0,0,0,1,60,
107428,Rising Sun Kick,0,0,0,0,1,9,
387219,Walk with the Ox,0,0,0,0,1,0,
322507,Walk with the Ox,0,0,0,0,1,36,
312106,Weapons of Order Debuff,0,0,0,0,0,0,
